Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Ajibola Alese,ENG,DF,Sunderland,21.0,2001.0,15.6,34,20,18,11,5,17,24,70.8,7,23,8,15,29,63,59,0
Jamie Allen,ENG,MF,Coventry City,27.0,1995.0,31.3,42,25,24,13,5,15,42,35.7,27,22,2,20,10,52,16,0
Joe Allen,WAL,MF,Swansea City,32.0,1990.0,13.7,32,20,13,11,8,14,27,51.9,13,17,9,8,25,57,21,1
Ryan Allsop,ENG,GK,Cardiff City,30.0,1992.0,42.7,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,20,2
Jak Alnwick,ENG,GK,Cardiff City,29.0,1993.0,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jordan Amissah,GHA,GK,Sheffield Utd,20.0,2001.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ben Amos,ENG,GK,Wigan Athletic,32.0,1990.0,28.6,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,15,2
Luke Amos,ENG,"MF,FW",QPR,25.0,1997.0,9.9,17,9,6,5,6,11,23,47.8,12,23,1,22,12,29,19,0
Joe Anderson,ENG,"DF,MF",Sunderland,21.0,2001.0,0.5,2,1,0,2,0,0,0,,0,0,0,0,2,4,1,0
Keshi Anderson,ENG,MF,Blackpool,27.0,1995.0,4.8,15,9,4,8,3,5,9,55.6,4,7,1,6,5,20,7,0
Ryan Andrews,ENG,DF,Watford,17.0,2004.0,5.4,8,6,5,2,1,4,7,57.1,3,3,1,2,13,21,12,0
Faustino Anjorin,ENG,"MF,FW",Huddersfield,20.0,2001.0,4.9,10,5,2,5,3,4,7,57.1,3,6,0,6,1,11,1,0
Robert Apter,SCO,MF,Blackpool,19.0,2003.0,0.2,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0
Henrique Araújo,POR,FW,Watford,20.0,2002.0,3.8,4,2,1,2,1,1,2,50.0,1,3,0,3,1,5,1,0
Oliver Arblaster,ENG,MF,Sheffield Utd,18.0,2004.0,0.8,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0
Cameron Archer,ENG,FW,Middlesbrough,21.0,2001.0,15.2,5,1,1,3,1,5,12,41.7,7,5,1,4,1,6,3,0
Sinclair Armstrong,IRL,"FW,MF",QPR,19.0,2003.0,6.1,1,0,0,0,1,0,1,0.0,1,3,0,3,1,2,1,0
Yaser Asprilla,COL,"MF,FW",Watford,18.0,2003.0,16.7,25,14,10,11,4,6,16,37.5,10,18,0,18,9,34,7,0
Britt Assombalonga,COD,"FW,MF",Watford,29.0,1992.0,2.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Robert Atkinson,ENG,DF,Bristol City,24.0,1998.0,23.8,42,26,21,18,3,16,30,53.3,14,22,11,11,36,78,93,0
Daniel Ayala,ESP,DF,Blackburn,31.0,1990.0,22.0,29,19,23,6,0,17,23,73.9,6,24,16,8,36,65,104,0
Femi Azeez,ENG,"MF,FW",Reading,21.0,2001.0,7.3,12,10,8,2,2,6,16,37.5,10,7,1,6,3,15,8,0
Miguel Azeez,ENG,MF,Wigan Athletic,19.0,2002.0,1.2,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,2,0
